Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-102.299995,1.000000,0.999220,0.000000,0.000000
2.000000,0.000000,-101.049995,1.000000,0.999080,0.000000,0.000000
3.000000,0.000000,-101.599998,1.000000,0.998600,0.000000,253.302948
4.000000,0.000000,-101.049995,1.000000,0.998060,0.000000,340.137756
5.000000,0.000000,-101.400002,1.000000,0.997800,0.000000,323.634827
6.000000,0.000000,-101.049995,1.000000,0.997700,0.000000,334.645386
7.000000,0.000000,-101.142860,1.000000,0.997570,0.000000,364.292786
8.000000,0.000000,-100.987503,1.000000,0.997410,0.000000,393.319580
9.000000,0.000000,-101.233337,1.000000,0.997070,0.000000,448.932373
10.000000,0.000000,-101.340004,1.000000,0.996910,0.000000,492.516479
11.000000,0.000000,-101.200005,1.000000,0.996650,0.000000,524.229797
12.000000,0.000000,-101.783333,1.000000,0.995910,0.000000,554.016113
13.000000,0.000000,-101.584610,1.000000,0.995620,-0.181448,575.804382
14.000000,0.000000,-101.478569,1.000000,0.995480,-0.181448,553.331177
15.000000,0.000000,-101.706665,1.000000,0.994860,0.717367,521.600586
16.000000,0.000000,-101.768745,1.000000,0.994410,0.717367,503.864166
17.000000,0.000000,-101.794113,1.000000,0.994270,0.717367,505.943024
18.000000,0.000000,-101.838882,1.000000,0.994110,0.717367,520.223755
19.000000,0.000000,-102.005257,1.000000,0.993710,0.717367,509.104980
20.000000,0.000000,-102.029991,1.000000,0.993540,0.717367,530.723938
21.000000,0.000000,-102.085709,1.000000,0.993260,0.717367,535.972290
22.000000,0.000000,-101.959084,1.000000,0.993130,0.717367,522.581177
23.000000,0.000000,-101.834778,1.000000,0.993010,0.717367,524.335144
24.000000,0.000000,-101.741669,1.000000,0.992790,0.717367,545.126892
25.000000,0.000000,-101.724007,1.000000,0.992650,0.717367,550.448425
26.000000,0.000000,-101.692307,1.000000,0.992530,0.717367,538.223938
27.000000,0.000000,-101.722221,1.000000,0.991940,0.632512,561.174561
28.000000,0.000000,-101.628578,1.000000,0.991760,0.632512,572.406860
29.000000,0.000000,-101.527588,1.000000,0.991540,0.509203,580.318604
30.000000,0.000000,-101.456665,1.000000,0.991420,0.509203,570.670044
31.000000,0.000000,-101.596771,1.000000,0.990380,0.550257,576.092529
32.000000,0.000000,-101.656250,1.000000,0.989560,0.782191,531.866882
33.000000,0.000000,-101.730309,1.000000,0.989070,0.782191,509.054565
34.000000,0.000000,-101.797058,1.000000,0.988060,0.710144,478.423431
35.000000,0.000000,-101.805717,1.000000,0.987940,0.710144,481.987396
36.000000,0.000000,-101.897232,1.000000,0.987520,0.662313,440.761292
37.000000,0.027027,-96.437843,0.972973,0.987510,0.662313,441.930603
38.000000,0.026316,-96.576317,0.973684,0.987380,0.662313,425.374298
39.000000,0.025641,-96.930771,0.974359,0.986500,0.662313,445.055969
40.000000,0.025000,-97.007500,0.975000,0.986290,0.003302,443.243744
41.000000,0.024390,-97.156097,0.975610,0.986030,-0.050328,450.816956
42.000000,0.023810,-97.419052,0.976190,0.985440,-0.050328,465.255768
43.000000,0.023256,-97.511627,0.976744,0.985280,-0.050328,489.149597
44.000000,0.022727,-97.611359,0.977273,0.985110,-0.050328,491.051483
45.000000,0.022222,-97.648880,0.977778,0.984980,0.061512,500.333740
46.000000,0.043478,-93.347816,0.956522,0.984960,0.061512,499.791077
47.000000,0.042553,-93.574455,0.957447,0.984730,0.061512,465.860016
48.000000,0.041667,-93.704155,0.958333,0.984560,0.152430,473.231323
49.000000,0.040816,-93.838760,0.959184,0.984260,0.152430,444.990356
50.000000,0.060000,-89.933983,0.940000,0.983790,0.152430,458.228027
51.000000,0.058824,-90.174500,0.941176,0.983170,0.180873,474.625183
52.000000,0.057692,-90.511528,0.942308,0.982380,0.034070,435.253571
53.000000,0.056604,-90.760376,0.943396,0.981610,-0.022875,440.901855
54.000000,0.055556,-90.966660,0.944444,0.981470,-0.022875,442.971344
55.000000,0.054545,-91.165451,0.945455,0.981360,-0.022875,438.661957
56.000000,0.053571,-91.433922,0.946429,0.980810,-0.122853,419.733246
57.000000,0.052632,-91.719299,0.947368,0.979810,-0.165870,426.552307
58.000000,0.051724,-91.889656,0.948276,0.979640,-0.165870,409.415619
