Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-102.299995,1.000000,0.999850,0.000000,0.000000
2.000000,0.000000,-101.000000,1.000000,0.999700,0.000000,0.000000
3.000000,0.000000,-101.366669,1.000000,0.999460,1.192517,0.000000
4.000000,0.000000,-101.375000,1.000000,0.999270,1.192517,0.000000
5.000000,0.000000,-102.180000,1.000000,0.998550,1.192517,0.000000
6.000000,0.000000,-101.683327,1.000000,0.998470,1.192517,0.000000
7.000000,0.000000,-102.342850,1.000000,0.997960,1.192517,460.334045
8.000000,0.000000,-103.037491,1.000000,0.997190,1.192517,535.842773
9.000000,0.000000,-103.155548,1.000000,0.996700,1.192517,483.137878
10.000000,0.000000,-103.209984,1.000000,0.996350,1.192517,410.898987
11.000000,0.000000,-102.972710,1.000000,0.996230,1.192517,406.747955
12.000000,0.000000,-103.233315,1.000000,0.995550,1.192517,321.299835
13.000000,0.000000,-102.976913,1.000000,0.995360,1.192517,301.814606
14.000000,0.000000,-102.842842,1.000000,0.995170,1.192517,290.406799
15.000000,0.000000,-102.679985,1.000000,0.994760,1.192517,265.262634
16.000000,0.000000,-103.262489,1.000000,0.993560,1.192517,203.870605
17.000000,0.000000,-103.217636,1.000000,0.993330,1.192517,192.492508
18.000000,0.000000,-103.127769,1.000000,0.993160,1.192517,179.215073
19.000000,0.000000,-103.084206,1.000000,0.992880,1.192517,176.592880
20.000000,0.000000,-103.089989,1.000000,0.992630,1.192517,175.719513
21.000000,0.000000,-103.147614,1.000000,0.992250,1.192517,189.131165
22.000000,0.000000,-102.977264,1.000000,0.992100,1.192517,192.355011
23.000000,0.000000,-102.826073,1.000000,0.991930,1.192517,202.986740
24.000000,0.000000,-102.791656,1.000000,0.991770,1.192517,205.876038
25.000000,0.040000,-94.675987,0.960000,0.991310,1.192517,216.743073
26.000000,0.038462,-95.084602,0.961538,0.990880,1.192517,221.290649
27.000000,0.037037,-95.233330,0.962963,0.990700,1.192517,217.994751
28.000000,0.035714,-95.457138,0.964286,0.990580,1.192517,222.746292
29.000000,0.034483,-95.844818,0.965517,0.989840,4.537634,219.699921
30.000000,0.033333,-96.039993,0.966667,0.989650,2.701263,220.042648
31.000000,0.032258,-96.461281,0.967742,0.988940,2.701263,215.833740
32.000000,0.031250,-96.687492,0.968750,0.988710,2.701263,208.301224
33.000000,0.030303,-96.887871,0.969697,0.988410,2.701263,197.093018
34.000000,0.029412,-96.952942,0.970588,0.988080,2.701263,195.701279
35.000000,0.028571,-97.188568,0.971429,0.987580,2.701263,217.314011
36.000000,0.027778,-97.483330,0.972222,0.987010,1.586572,223.895096
37.000000,0.027027,-97.513512,0.972973,0.986690,1.586572,213.362015
38.000000,0.026316,-97.839470,0.973684,0.985700,1.349667,159.682877
39.000000,0.025641,-98.182045,0.974359,0.984540,1.387239,167.261658
40.000000,0.025000,-98.269997,0.975000,0.984380,1.387239,162.594940
41.000000,0.024390,-98.346336,0.975610,0.984250,1.204123,171.786072
42.000000,0.023810,-98.376183,0.976190,0.984060,1.204123,156.049347
43.000000,0.046512,-93.758133,0.953488,0.984040,1.204123,155.211121
44.000000,0.045455,-94.061356,0.954545,0.983550,1.164257,178.521500
45.000000,0.044444,-94.179993,0.955556,0.983370,1.164257,191.328064
46.000000,0.043478,-94.295647,0.956522,0.983230,1.164257,196.021515
47.000000,0.042553,-94.474464,0.957447,0.982960,1.164257,213.955490
48.000000,0.041667,-94.583336,0.958333,0.982840,1.164257,228.053726
49.000000,0.040816,-94.730606,0.959184,0.982750,1.164257,230.676178
50.000000,0.040000,-94.871994,0.960000,0.982540,1.377691,241.856201
51.000000,0.039216,-94.960777,0.960784,0.982420,1.377691,240.991455
52.000000,0.038462,-95.107681,0.961538,0.982260,1.377691,250.486664
53.000000,0.037736,-95.249054,0.962264,0.982070,1.511612,261.692200
54.000000,0.037037,-95.468513,0.962963,0.981490,1.511612,261.807129
55.000000,0.036364,-95.530907,0.963636,0.981260,1.511612,261.597992
56.000000,0.035714,-95.730354,0.964286,0.980790,1.511612,247.096451
57.000000,0.035088,-95.866669,0.964912,0.980450,0.553246,254.179245
58.000000,0.034483,-95.922417,0.965517,0.980360,0.553246,255.141815
59.000000,0.033898,-96.049149,0.966102,0.979680,0.656021,260.621582
60.000000,0.033333,-96.148331,0.966667,0.978500,0.633341,227.992004
61.000000,0.032787,-96.224586,0.967213,0.978190,0.633341,218.399734
62.000000,0.032258,-96.406448,0.967742,0.977650,0.930826,226.433609
63.000000,0.031746,-96.487297,0.968254,0.977500,0.930826,234.598358
64.000000,0.031250,-96.568748,0.968750,0.977400,1.054290,227.058990
65.000000,0.030769,-96.670769,0.969231,0.977120,1.054290,233.370209
66.000000,0.030303,-96.743942,0.969697,0.977000,1.054290,230.898346
67.000000,0.029851,-96.862694,0.970149,0.976540,1.054290,241.916901
68.000000,0.029412,-96.945595,0.970588,0.975680,1.089558,233.156708
69.000000,0.028986,-97.117393,0.971014,0.975000,0.444077,210.159912
70.000000,0.028571,-97.208572,0.971429,0.974690,0.165879,223.499481
71.000000,0.028169,-97.290146,0.971831,0.974510,0.138627,223.999084
72.000000,0.027778,-97.483337,0.972222,0.973410,0.409203,228.824036
73.000000,0.027397,-97.534256,0.972603,0.973230,0.409203,229.581345
74.000000,0.027027,-97.639191,0.972973,0.972920,0.409203,223.099182
75.000000,0.026667,-97.688004,0.973333,0.972780,0.409203,219.993744
76.000000,0.026316,-97.715790,0.973684,0.972640,-0.062560,213.530716
77.000000,0.025974,-97.810387,0.974026,0.972030,-0.074280,216.694031
78.000000,0.025641,-97.833336,0.974359,0.971630,-0.074280,216.929825
79.000000,0.025316,-97.915184,0.974684,0.971340,-0.074280,211.246597
80.000000,0.025000,-97.977493,0.975000,0.970940,-2.565463,191.512772
81.000000,0.024691,-98.064194,0.975309,0.970180,-2.432191,220.207932
82.000000,0.024390,-98.113411,0.975610,0.970000,-2.544628,214.771545
83.000000,0.024096,-98.169876,0.975904,0.969740,-3.033340,214.253372
84.000000,0.023810,-98.198799,0.976190,0.969590,-3.033340,209.750916
85.000000,0.023529,-98.237640,0.976471,0.969410,-3.033340,211.643356
86.000000,0.023256,-98.288361,0.976744,0.969220,-2.851549,200.161026
87.000000,0.022989,-98.301140,0.977012,0.969010,-2.851549,200.525986
88.000000,0.022727,-98.315895,0.977273,0.968640,-4.181849,193.907700
89.000000,0.022472,-98.330322,0.977528,0.968510,-4.181849,192.370117
90.000000,0.022222,-98.379982,0.977778,0.968340,-4.181849,195.057922
91.000000,0.021978,-98.430748,0.978022,0.968040,-4.181849,215.897583
92.000000,0.021739,-98.467369,0.978261,0.967110,-3.372403,191.191330
93.000000,0.021505,-98.547295,0.978495,0.966650,-3.277794,193.761917
94.000000,0.021277,-98.591476,0.978723,0.966470,-3.285697,195.508514
95.000000,0.031579,-96.511566,0.968421,0.966330,-3.043133,195.401718
96.000000,0.031250,-96.564568,0.968750,0.965680,-2.939851,204.312943
97.000000,0.030928,-96.639153,0.969072,0.965040,-2.456428,214.047333
98.000000,0.030612,-96.691818,0.969388,0.964830,-2.456428,215.468124
99.000000,0.030303,-96.729279,0.969697,0.964600,-2.456428,208.756851
100.000000,0.030000,-96.774979,0.970000,0.964430,-2.736212,203.799805
101.000000,0.030000,-96.783981,0.970000,0.963550,-2.804501,212.656586
102.000000,0.030000,-96.799980,0.970000,0.963440,-2.804501,215.527390
103.000000,0.030000,-96.872978,0.970000,0.962820,-2.759041,208.077148
104.000000,0.030000,-96.851982,0.970000,0.962690,-2.759041,208.002365
105.000000,0.030000,-96.839981,0.970000,0.961880,-2.537131,215.062485
106.000000,0.030000,-96.863983,0.970000,0.961770,-2.789744,211.112198
107.000000,0.030000,-96.797981,0.970000,0.961650,-2.789744,208.116653
108.000000,0.030000,-96.730988,0.970000,0.960870,-2.527746,193.710953
109.000000,0.030000,-96.783981,0.970000,0.959530,-2.291111,178.876038
110.000000,0.030000,-96.744980,0.970000,0.959240,-2.757362,170.226196
111.000000,0.030000,-96.807991,0.970000,0.958130,-3.124295,151.898010
112.000000,0.030000,-96.791985,0.970000,0.957530,-3.152596,150.003677
113.000000,0.030000,-96.820984,0.970000,0.956640,-2.797442,162.134979
114.000000,0.030000,-96.831985,0.970000,0.956470,-2.794035,151.492767
115.000000,0.030000,-96.843987,0.970000,0.956150,-2.745988,146.078781
116.000000,0.030000,-96.728981,0.970000,0.955960,-3.874398,145.084885
117.000000,0.030000,-96.786980,0.970000,0.955140,-3.906183,152.185822
