Episodes,Success,Mean Reward,Mean Collision,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-101.899994,1.000000,0.999870,0.000000,0.000000
2.000000,0.000000,-100.899994,1.000000,0.999680,0.000000,0.000000
3.000000,0.000000,-102.633331,1.000000,0.998760,0.000000,0.000000
4.000000,0.000000,-101.675003,1.000000,0.998250,0.000000,0.000000
5.000000,0.000000,-101.780006,1.000000,0.998080,0.000000,0.000000
6.000000,0.000000,-101.450005,1.000000,0.997880,0.000000,467.276947
7.000000,0.000000,-101.557144,1.000000,0.997710,0.000000,509.315613
8.000000,0.000000,-101.437500,1.000000,0.997560,0.000000,466.824097
9.000000,0.000000,-101.577782,1.000000,0.996960,-0.332350,474.059113
10.000000,0.000000,-101.629997,1.000000,0.996840,-0.332350,462.412292
11.000000,0.000000,-101.418182,1.000000,0.996680,-0.332350,435.757141
12.000000,0.000000,-101.316658,1.000000,0.996460,-0.332350,429.682922
13.000000,0.000000,-101.684608,1.000000,0.995870,-0.332350,348.483032
14.000000,0.000000,-101.514282,1.000000,0.995740,-0.332350,333.359070
15.000000,0.000000,-101.386665,1.000000,0.995580,-0.332350,307.946777
16.000000,0.000000,-101.781242,1.000000,0.994790,-0.332350,245.989838
17.000000,0.000000,-101.805870,1.000000,0.994350,-0.332350,204.337234
18.000000,0.000000,-101.799988,1.000000,0.994220,-0.332350,193.098572
19.000000,0.000000,-102.057884,1.000000,0.993540,0.745639,168.685303
20.000000,0.000000,-102.114983,1.000000,0.993350,0.745639,171.992050
21.000000,0.000000,-102.123795,1.000000,0.993220,0.745639,182.058334
22.000000,0.000000,-101.995438,1.000000,0.993120,0.745639,179.630905
23.000000,0.000000,-101.865204,1.000000,0.992960,0.355355,168.788696
24.000000,0.000000,-101.874992,1.000000,0.992810,0.355355,166.984833
25.000000,0.000000,-101.963997,1.000000,0.992560,0.355355,189.659760
26.000000,0.000000,-101.973068,1.000000,0.991820,1.189476,215.985825
27.000000,0.000000,-101.918510,1.000000,0.991630,1.189476,215.742310
28.000000,0.000000,-101.832138,1.000000,0.991400,1.189476,205.480652
29.000000,0.000000,-101.737930,1.000000,0.991280,1.189476,197.115250
30.000000,0.000000,-101.663330,1.000000,0.991140,0.564086,209.166351
31.000000,0.000000,-101.677422,1.000000,0.990960,0.564086,212.586105
32.000000,0.000000,-101.900002,1.000000,0.989920,0.564086,185.461029
33.000000,0.000000,-101.815155,1.000000,0.989770,0.564086,173.625717
34.000000,0.000000,-101.850006,1.000000,0.989560,0.564086,162.490387
