Episodes,Success,Mean Reward,Mean Collision,Mean Sharp Corner,Epsilon,Mean Value,Mean Loss
1.000000,0.000000,-101.500000,1.000000,0.000000,0.999920,0.000000,0.000000
2.000000,0.000000,-100.250000,1.000000,0.000000,0.999790,0.000000,0.000000
3.000000,0.000000,-100.900002,1.000000,0.000000,0.998900,0.000000,0.000000
4.000000,0.000000,-101.050003,1.000000,0.000000,0.998750,0.000000,0.000000
5.000000,0.000000,-100.800003,1.000000,0.000000,0.998490,0.000000,0.000000
6.000000,0.000000,-101.299995,1.000000,0.000000,0.998180,0.000000,0.000000
7.000000,0.000000,-101.571426,1.000000,0.000000,0.997990,0.000000,0.000000
8.000000,0.000000,-101.250000,1.000000,0.000000,0.997560,0.000000,0.000000
9.000000,0.000000,-101.466667,1.000000,0.000000,0.997340,0.000000,0.000000
10.000000,0.000000,-101.529999,1.000000,0.000000,0.997220,0.000000,0.000000
11.000000,0.000000,-101.663643,1.000000,0.000000,0.996590,0.000000,533.386597
12.000000,0.000000,-102.058342,1.000000,0.000000,0.996060,0.000000,544.391602
13.000000,0.000000,-101.846161,1.000000,0.000000,0.995960,0.000000,534.488647
14.000000,0.000000,-101.650009,1.000000,0.000000,0.995870,0.000000,538.193848
15.000000,0.000000,-101.773338,1.000000,0.000000,0.995530,0.000000,549.817200
16.000000,0.000000,-101.756256,1.000000,0.000000,0.995230,0.000000,543.366699
17.000000,0.000000,-101.835297,1.000000,0.000000,0.995030,0.000000,520.059692
18.000000,0.000000,-101.811119,1.000000,0.000000,0.994930,0.000000,540.517090
19.000000,0.000000,-101.836853,1.000000,0.000000,0.994710,0.000000,533.564758
20.000000,0.000000,-101.855003,1.000000,0.000000,0.994420,0.245155,539.390747
21.000000,0.000000,-101.895241,1.000000,0.000000,0.994180,0.245155,551.511292
22.000000,0.000000,-101.781815,1.000000,0.000000,0.994030,0.245155,536.775330
23.000000,0.000000,-101.660866,1.000000,0.000000,0.993900,0.245155,551.147278
24.000000,0.000000,-101.979164,1.000000,0.000000,0.992970,0.245155,541.120056
25.000000,0.000000,-101.992004,1.000000,0.000000,0.992570,0.012303,503.359741
26.000000,0.000000,-102.080772,1.000000,0.000000,0.992190,0.012303,479.870911
27.000000,0.000000,-102.040741,1.000000,0.037037,0.991930,0.012303,438.369629
28.000000,0.000000,-101.932144,1.000000,0.035714,0.991830,0.012303,436.999695
29.000000,0.000000,-101.831039,1.000000,0.034483,0.991700,0.012303,427.872681
30.000000,0.000000,-101.763336,1.000000,0.033333,0.991590,0.012303,425.074280
31.000000,0.000000,-101.796783,1.000000,0.032258,0.991420,-0.020342,423.552124
32.000000,0.000000,-101.750008,1.000000,0.031250,0.991150,-0.234354,446.914032
33.000000,0.000000,-101.663643,1.000000,0.030303,0.990980,-0.234354,450.629791
34.000000,0.000000,-101.597061,1.000000,0.029412,0.990830,-0.234354,486.671295
35.000000,0.000000,-101.585716,1.000000,0.028571,0.990680,-0.234354,497.205566
36.000000,0.000000,-101.649994,1.000000,0.027778,0.990350,-0.234354,522.163025
37.000000,0.027027,-96.194595,0.972973,0.027027,0.990330,-0.234354,516.513306
38.000000,0.026316,-96.344734,0.973684,0.026316,0.990220,-0.234354,498.387512
39.000000,0.025641,-96.479485,0.974359,0.025641,0.990080,-0.891972,518.552185
